user_id,user_name,review_year,review_count
n-lBS02-3yvlY5Q91mmwDA,Zachary,2005,171
3MYdpmHeNwC6FquRWi3YOg,Andy,2005,60
iUeZhkI0OK0BisakOkb3pQ,patrick,2005,51
58yhbFfNHjULDZx0FD-Dvw,Stephanie,2005,38
_BHTC7nyCBoZcfiiD5cOXg,Gourmet,2005,37
jTXj5uf5ER5siDnQK_y4aA,Keith,2005,24
3xX-Et9I4Bi4wdRPWJkAFg,Hans,2005,19
-qoyKSF2G3PkR_7XNoJfpQ,Stefani,2005,18
DOFamdMaC_hjn9zg3Gs-0w,Dan,2005,16
PO-U11FmTDiqCEqtilFjVQ,Eug,2005,15
H4JNrBAoyCk_ZMZWbAf8OA,Allison,2005,14
X1VV7rNFaMPDIBE9PVF4tw,christopher,2005,13
AuXICYKDCopDrvjy72UVfw,Michael,2005,12
F4cbJPyoF1nd3S7Rqz72vw,Kristin,2005,11
BI4lPhrUpmEySIJUywjIjQ,Dee,2005,11
qG_bVdazAjjAO1l94gqHAg,Jason,2005,11
c8qFkI_VusWo0xZvkjfBWQ,matthew,2005,11
3W-lOOaIVQZONZP83kab6g,Peter,2005,10
1w5bmM1qsFdQ6NbAU6ZDjQ,Ashley,2005,9
3zBJUlWtPNoZ0uN83ODbyg,Dan,2005,9
_cz2O9JukT1I2GuYVAA5Zg,Jessica,2005,9
98pdN0Hn3Vx_qBlv2SMuyw,Matthew,2005,9
uSxeEUPMW1nUJr-5jHYt6Q,Margie,2005,9
ZftKc54UnKJSbuzyEg4SjA,Kelly,2005,9
5mHprbXJYoz-7ACL-xL2eA,Matthew,2005,7
CrJlQ1NYEIfmMz5RuUhMvA,Linda,2005,7
4Xi2i_i1RzKkoJ41_1JHig,Mariangela,2005,7
whfjd0gIdtPXLTZKmNYqZQ,Stellah,2005,7
9Z2UEd_f6eC17YxifpWfMw,peter,2005,7
XCsZ3hWa_6oP1WkWvK7pmg,Tanger,2005,7
kQX4IZc95PkbkMcS9UbYOQ,Jen,2005,7
k2zuwaAne-FhHd8M6bXnyQ,Eva,2005,7
b7ceiS47nxb4p92JAR8iqw,Ran,2005,6
0FbtB0ajpk8VZSVpC6KjGw,Roopa,2005,6
gjfcfzrYZ0O1xINHtnQKiA,Jenny,2005,6
O-syY_2E82grwoSebsDcvQ,eric,2005,6
GXn4ZsasLKh0qZ5g3nIqcQ,Michael,2005,6
q_QQ5kBBwlCcbL1s4NVK3g,Jane,2005,6
RywiEGRkea2j9IY7juD24w,Mel,2005,6
nkN_do3fJ9xekchVC-v68A,Jeremy,2005,6
Hc5Q5rmByOU6gdGkr8TLBg,Yvonne,2005,5
lZsusXJjzStoi3vQmqzoMg,J,2005,5
TZ53SO335VUAeUt14E0eGQ,Ryan,2005,4
iL-5xEeaQWpESDgKdl-Krw,Max,2005,4
xPE3z3YRe2CWKyYjjICneQ,Gilbert,2005,4
-2BsDZWzob5Q1ZGHcDJ6gw,Matt,2005,4
Bf87HcPERF9yiSjb2tQBqw,Kevin,2005,4
NxcJCKeTLNVl-xRP7rpDhw,James,2005,4
M4CiAGc2PePKMoAaMDfevw,Eff,2005,3
TDXV6AC5PYOZEyN9eeODfA,Stephanie,2005,3
ORkSoQaD0jywIA4fgvvszg,Melanie,2005,3
UZ6YOaTiZ1lTZWKASIkVuA,Michie,2005,3
qEYG5IE5dTekjIhdoV31bQ,Wayne,2005,3
Xj0O2l0bp633ebmG468aZw,Ralph,2005,3
ssXAz7RahuYNDx7FeRe4Aw,Alex,2005,3
VRNF7v9PRqnfU3XpNmRxpQ,charlotte,2005,3
y8lz_6KWGOQ9jcTyIdwTLQ,Patrick,2005,3
Zsq74nsRcudX1LC6yv8JVQ,Geoffrey,2005,3
6VWXDm7k3-iPfm0cArdRdA,K.,2005,2
5F_ASUSCHFf3YotkKioZ5w,Ellen,2005,2
